Id,Creation Time,Owner,Tags,rouge1,rouge2,rougeL,gen_summ_len,filtered_l,text_len,threshold,input_json,method,filtered,random,parameters/summary_ratio
NEWS-74,2022-05-18 18:05:45,michal.pastuszka,[],40.2815,12.721,18.5211,1821.9,9512.21,9902.78,0.01,data\multinews\sample-v1_subj_scored_blob.json,BertExt,false,false,0.2
NEWS-202,2022-05-28 15:01:22,michal.pastuszka,[],40.1122,12.8683,18.7981,1781.56,7751.77,9902.78,0.002,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,false,0.2
NEWS-203,2022-05-28 15:05:59,michal.pastuszka,[],40.1122,12.4972,18.1024,1797.28,7624.75,9902.78,0.002,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,true,0.2
NEWS-184,2022-05-28 13:39:18,michal.pastuszka,[],40.0976,12.548,18.5161,1823.75,9251.31,9902.78,0.2,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,false,0.2
NEWS-196,2022-05-28 14:29:11,michal.pastuszka,[],40.0817,12.8485,18.6908,1817.17,9723.01,9902.78,2.0E-4,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,false,0.2
NEWS-72,2022-05-18 18:00:08,michal.pastuszka,[],40.0729,12.6994,18.6468,1807.16,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,false,0.2
NEWS-200,2022-05-28 14:51:26,michal.pastuszka,[],40.0729,12.6994,18.6468,1807.16,8644.02,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,false,0.2
NEWS-194,2022-05-28 14:17:44,michal.pastuszka,[],39.9503,12.5789,18.6292,1826.38,9799.35,9902.78,1.0E-4,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,false,0.2
NEWS-195,2022-05-28 14:23:27,michal.pastuszka,[],39.9503,12.5789,18.6292,1826.38,9799.35,9902.78,1.0E-4,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,true,0.2
NEWS-187,2022-05-28 13:50:44,michal.pastuszka,[],39.8912,12.0,17.8831,1829.48,8871.35,9902.78,0.3,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,true,0.2
NEWS-198,2022-05-28 14:40:23,michal.pastuszka,[],39.8771,12.3664,18.3828,1823.19,9255.5,9902.78,5.0E-4,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,false,0.2
NEWS-197,2022-05-28 14:34:52,michal.pastuszka,[],39.8731,12.3785,18.4963,1807.77,9674.5,9902.78,2.0E-4,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,true,0.2
NEWS-70,2022-05-18 17:55:08,michal.pastuszka,[],39.868,12.2137,18.1535,1799.96,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,false,0.2
NEWS-188,2022-05-28 13:55:34,michal.pastuszka,[],39.868,12.2137,18.1535,1799.96,8211.94,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,false,0.2
NEWS-199,2022-05-28 14:45:58,michal.pastuszka,[],39.8231,12.1945,18.3368,1775.82,9154.78,9902.78,5.0E-4,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,true,0.2
NEWS-186,2022-05-28 13:45:43,michal.pastuszka,[],39.8098,12.0422,18.0688,1835.15,8907.11,9902.78,0.3,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,false,0.2
NEWS-182,2022-05-28 13:28:27,michal.pastuszka,[],39.7404,12.1665,18.2058,1830.46,9397.57,9902.78,0.1,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,false,0.2
NEWS-201,2022-05-28 14:56:41,michal.pastuszka,[],39.6301,11.8379,17.9078,1784.89,8493.82,9902.78,0.001,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,true,0.2
NEWS-183,2022-05-28 13:33:56,michal.pastuszka,[],39.6272,12.1471,18.1324,1809.29,9296.73,9902.78,0.1,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,true,0.2
NEWS-205,2022-05-28 15:13:38,michal.pastuszka,[],39.6056,12.6505,18.5355,1780.77,6024.17,9902.78,0.005,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,true,0.2
NEWS-189,2022-05-28 14:00:16,michal.pastuszka,[],39.5603,11.9667,17.9216,1775.57,8194.56,9902.78,0.4,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,true,0.2
NEWS-190,2022-05-28 14:04:27,michal.pastuszka,[],39.2466,12.4717,18.0329,1773.45,6860.64,9902.78,0.5,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,false,0.2
NEWS-193,2022-05-28 14:11:51,michal.pastuszka,[],39.165,12.3345,18.1631,1745.41,5653.56,9902.78,0.6,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,true,0.2
NEWS-204,2022-05-28 15:09:42,michal.pastuszka,[],38.9337,12.1853,18.0458,1781.22,6117.39,9902.78,0.005,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,false,0.2
NEWS-192,2022-05-28 14:08:21,michal.pastuszka,[],38.854,11.981,17.5091,1709.46,5308.33,9902.78,0.6,data\multinews\sample-v1_subj_scored_blob.json,BertExt,true,false,0.2
NEWS-185,2022-05-28 13:40:37,michal.pastuszka,[],22.5977,5.7168,11.2808,795.5,879.47,9902.78,0.2,data\multinews\sample-v1_subj_scored_transformer.json,BertExt,true,true,0.2
