Id,Creation Time,Owner,Tags,rouge1,rouge2,rougeL,gen_summ_len,filtered_l,text_len,threshold,input_json,method,filtered,random,parameters/summary_ratio
NEWS-54,2022-05-18 16:51:34,t.makowski,[],48.0797,18.7146,24.5416,226.19,9723.01,9902.78,2.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,false,
NEWS-48,2022-05-18 16:38:09,t.makowski,[],47.9188,19.1343,24.802,220.22,9255.5,9902.78,5.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,false,
NEWS-146,2022-05-23 19:14:11,t.makowski,[],47.9188,19.2198,24.7803,224.58,9684.38,9902.78,2.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,true,
NEWS-145,2022-05-23 19:07:27,t.makowski,[],47.9035,18.8999,24.4671,225.78,9799.35,9902.78,1.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,true,
NEWS-51,2022-05-18 16:44:51,t.makowski,[],47.8483,18.8777,24.4439,225.78,9799.35,9902.78,1.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,false,
NEWS-147,2022-05-23 19:20:53,t.makowski,[],47.8238,18.8162,24.2667,224.68,9140.8,9902.78,5.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,true,
NEWS-93,2022-05-18 20:03:59,t.makowski,[],47.7276,18.7484,24.3086,224.63,9134.56,9902.78,5.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,false,true,
NEWS-83,2022-05-18 19:21:11,t.makowski,[],47.6919,18.7837,24.2948,224.63,8193.76,9902.78,0.4,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,false,true,
NEWS-75,2022-05-18 18:10:12,t.makowski,[],47.6871,18.7212,24.4209,224.63,9255.5,9902.78,5.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,false,false,
NEWS-82,2022-05-18 19:02:50,t.makowski,[],47.6812,18.792,24.3416,224.63,7986.49,9902.78,0.4,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,false,false,
NEWS-18,2022-05-18 15:31:33,t.makowski,[],47.6763,18.8182,24.4454,224.63,8211.94,9902.78,0.4,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,false,false,
NEWS-80,2022-05-18 18:44:23,t.makowski,[],47.6606,18.7304,24.3974,224.63,8165.5,9902.78,0.4,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,false,true,
NEWS-81,2022-05-18 18:51:00,t.makowski,[],47.6599,18.7662,24.4124,224.63,9160.16,9902.78,5.0E-4,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,false,true,
NEWS-149,2022-05-23 19:34:17,t.makowski,[],47.6527,18.9452,24.6907,221.42,9140.68,9902.78,0.2,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,true,
NEWS-150,2022-05-23 19:40:57,t.makowski,[],47.5125,17.9916,24.0804,219.54,8745.3,9902.78,0.3,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,true,
NEWS-33,2022-05-18 16:11:37,t.makowski,[],47.4319,18.5197,24.2767,219.05,9397.57,9902.78,0.1,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,false,
NEWS-24,2022-05-18 15:51:14,t.makowski,[],47.3724,18.5192,24.5846,218.47,9251.31,9902.78,0.2,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,false,
NEWS-143,2022-05-23 18:53:56,t.makowski,[],47.3606,17.7042,23.4574,221.49,7605.15,9902.78,0.002,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,true,
NEWS-142,2022-05-23 18:47:06,t.makowski,[],47.3599,18.7145,24.395,221.08,8476.78,9902.78,0.001,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,true,
NEWS-22,2022-05-18 15:44:31,t.makowski,[],47.3306,18.6342,24.4321,221.31,8907.11,9902.78,0.3,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,false,
NEWS-148,2022-05-23 19:27:38,t.makowski,[],47.2602,18.6376,24.4024,221.04,9302.97,9902.78,0.1,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,true,
NEWS-29,2022-05-18 16:04:36,t.makowski,[],47.1896,18.1279,23.9046,218.53,8644.02,9902.78,0.001,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,false,
NEWS-16,2022-05-18 15:23:52,t.makowski,[],47.0539,17.941,24.1482,218.55,8211.94,9902.78,0.4,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,false,
NEWS-86,2022-05-18 19:44:22,t.makowski,[],46.8093,18.5382,24.1381,210.8,8187.55,9902.78,0.4,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,true,
NEWS-41,2022-05-18 16:24:50,t.makowski,[],46.6485,17.8568,23.6347,217.75,7751.77,9902.78,0.002,data/multinews/sample-v1_subj_scored_transformer.json,Pegasus,true,false,
NEWS-89,2022-05-18 19:50:52,t.makowski,[],46.242,17.5934,23.8391,215.87,6817.53,9902.78,0.5,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,true,
NEWS-26,2022-05-18 15:57:54,t.makowski,[],46.1953,17.8623,23.8554,213.43,6860.64,9902.78,0.5,data/multinews/sample-v1_subj_scored_blob.json,Pegasus,true,false,
